
9	0	28	25	-6	14	-10	25	
30	-2	29	19	21	-17	6	24	
-30	-19	19	20	30	6	6	-12	
10	-5	13	-31	-22	-9	-4	16	
-11	16	-15	-4	6	25	-20	8	
-23	-21	24	-22	18	18	-10	27	
-19	-6	30	-26	-31	24	30	22	
10	10	-11	-31	-2	15	-19	31	

12	31	-12	14	-2	5	-10	-15	
-25	24	-16	-21	-9	-5	31	-32	
30	8	24	5	28	22	-2	14	
17	-24	-1	-6	15	15	8	5	
-9	8	-16	-17	-27	13	-15	-27	
-28	7	-31	19	28	1	-1	30	
-28	27	-16	23	-17	-10	22	26	
-13	7	15	8	-16	5	30	-25	

-22	13	14	24	-26	26	-28	-19	
-2	-12	12	-22	0	-14	-2	13	
15	-26	1	9	-31	-20	-12	-8	
22	25	15	-28	-26	-17	-4	7	
-20	-25	-10	0	-19	14	28	31	
24	9	-25	-22	-13	-4	7	-10	
-15	-20	5	1	27	-32	9	-22	
-12	-24	-4	4	19	-28	-7	-10	

29	-32	-24	7	16	17	-29	-10	
-26	6	-20	4	9	2	26	-10	
20	-4	-30	-30	-2	-3	-31	31	
-21	-11	4	17	-1	2	4	25	
-32	27	-3	-6	27	1	3	-15	
-32	-2	-11	-13	-5	-1	21	-26	
-25	-11	-32	4	-16	-25	-14	-30	
26	2	-30	-29	29	-20	5	25	

16	-11	27	-26	-28	-26	-29	-4	
-6	16	22	-4	28	20	-7	0	
-9	31	-18	-5	3	18	20	-23	
15	28	7	-26	-8	11	-1	-32	
16	8	21	-1	10	6	-25	19	
22	-10	-27	-16	3	-31	-16	27	
-22	10	17	15	15	5	18	-12	
-16	24	-2	-27	23	-21	5	3	

-22	8	-8	14	-8	3	-5	-11	
-7	9	4	29	-9	6	-5	-23	
-1	13	-17	7	-20	-16	-19	3	
10	8	-21	6	10	10	-17	-5	
7	7	7	0	26	21	18	24	
-21	31	17	2	29	-13	-12	21	
13	-5	-12	-26	31	-7	-16	29	
20	-24	-10	-24	-15	16	-23	9	

-14	18	-20	-7	10	11	20	-30	
-20	29	-32	-8	-26	-26	-15	22	
16	6	25	-11	30	24	-14	-7	
14	1	20	-18	-26	-12	-10	-21	
0	-15	6	0	-9	-15	8	-28	
11	-26	23	21	-4	-23	-11	-26	
-12	19	10	0	19	-23	-12	-24	
-26	3	4	-15	-24	9	25	-9	

-8	1	-2	-10	6	-14	-31	-26	
19	-7	16	4	-16	9	13	-10	
-30	-12	-28	-22	-16	17	-26	-23	
-22	27	-32	30	-30	-6	-23	11	
-32	-9	-18	-25	-28	-26	13	-25	
28	-16	-23	31	-25	17	-12	-6	
23	-28	28	-24	-2	21	9	3	
7	-10	-22	-7	-5	-19	15	-26	

22	-9	19	-32	30	-31	-22	-12	
-22	-20	15	-6	13	-19	-31	-8	
-2	28	-7	22	7	4	-5	-4	
19	10	-23	17	-7	26	-17	19	
-4	19	22	-27	30	29	-10	-14	
-1	31	-9	-18	-5	-30	-30	-14	
9	-20	-12	-8	-12	26	25	-28	
-29	4	-2	17	-14	-1	-5	-11	

-1	-30	14	-22	-11	-12	-24	3	
-15	14	25	18	-15	-23	-29	11	
23	-18	-16	16	4	-21	17	-11	
-13	3	19	9	21	14	-15	-14	
-19	-1	-14	-23	8	-10	9	23	
-16	-28	25	2	-6	22	-10	15	
18	1	27	-31	0	11	11	1	
15	-16	-4	17	-13	-5	-1	-3	

30	27	-14	-2	15	0	-20	27	
23	3	-24	5	-25	-16	16	-15	
-27	23	28	8	-3	8	-1	9	
21	-21	-19	-25	-17	-4	26	-13	
-7	-1	3	-30	-19	-2	-17	24	
-22	-25	26	2	-15	15	13	-18	
28	15	-11	2	-26	18	-32	14	
-11	19	-18	-32	-27	-15	-12	-24	

2	27	30	-26	-32	-22	26	-22	
-30	6	-6	-29	-9	-26	22	-29	
-31	-25	-21	7	10	-7	-9	19	
16	27	28	25	-4	-3	-24	-9	
8	3	27	20	14	-17	-5	-22	
-31	-2	7	-11	-29	24	-29	15	
-22	-19	-28	17	-8	-28	22	25	
14	9	-26	-2	-21	-6	3	13	

30	-1	22	9	-32	17	-13	-17	
-10	6	-13	-4	-29	-2	16	3	
-3	15	14	-3	31	14	-14	11	
21	-14	31	12	-20	-12	10	-10	
-18	11	-24	-6	4	-5	-11	4	
11	-19	18	13	18	-20	20	-9	
-26	-13	-7	17	-8	7	29	-23	
-11	-23	3	-22	-28	-16	15	30	

26	28	31	-12	-13	7	-14	-14	
-31	20	2	17	-16	-17	15	31	
0	-31	-6	-30	-7	-8	-22	23	
-3	-16	25	-3	-12	-8	18	27	
-4	-26	26	-2	-21	-12	1	2	
-10	0	6	13	12	15	-15	19	
-7	-12	0	28	13	-26	-31	-9	
-3	15	6	21	3	-1	-23	-24	

-19	31	-31	-4	-31	23	-16	14	
-3	-31	31	29	-3	-8	-3	3	
-30	-21	-11	-26	26	3	-18	-28	
-15	-14	-10	18	-17	2	-12	-22	
-20	-2	20	-9	-23	-11	15	18	
-11	-17	12	-16	12	-5	-27	-9	
-7	-11	16	-9	6	-13	27	-15	
-32	-13	-1	-30	-10	3	29	-30	

15	3	-25	-29	29	30	-27	7	
-31	8	21	-20	-17	-18	3	30	
2	30	-16	-15	18	-26	-2	21	
28	-25	21	-2	9	-4	25	-13	
19	-15	-21	4	-12	-23	31	-5	
21	19	-7	-24	-17	27	-26	-23	
30	-1	-16	-2	-19	-31	-4	15	
-4	21	-4	-10	24	-9	5	10	
